riskType,riskDescription,locationName
Tides,Incommoda quae eveniunt inprobis fugiendam inprobitatem putamus sed multo,Cercatetus concinnus
Wavy,Consedit hoc ipso quod adest turbulenta est si vero molita,Eurocephalus anguitimens
Shark,Quod tranquillat animos tum spe nihil earum,Phalacrocorax carbo
Extreme Waves,Diceret Aliena dixit in physicis nec ea ipsa quae tibi probarentur,Larus dominicanus
Waves ,Iucunde Neque enim civitas in seditione beata esse potest nec,Chionis alba
Extreme Waves,Inter se ex quo efficeretur mundus omnesque partes mundi quaeque in eo quoque elaborare,Agama sp.
Extreme Waves,Personae tamen et dignitatis esse negent Contra quos omnis dicendum breviter,Rangifer tarandus
Extreme Waves,Amicitia cum voluptate conectitur Nam et praeterita et futura Ut enim ad,Anhinga rufa
Extreme Waves,Corrigere voluit deteriora fecit Disserendi artem nullam habuit Voluptatem,Coluber constrictor
Extreme Waves,Dicent ab illis has res esse tractatas,Bettongia penicillata
Rocks,Nihil ut de utilitatibus nihil ut de commodis,Canis aureus
Extreme Waves,Quam utramque Menandri legam A quibus tantum dissentio,Drymarchon corias couperi
Extreme Waves,Mundi quaeque in eo ipso parum vidit deinde hoc quoque alienum,Myiarchus tuberculifer
Sharks,Vivendi putanda est non expeteretur si nihil efficeret nunc expetitur quod,Felis caracal
Tides,Laetitia si bona O praeclaram beate vivendi et apertam et simplicem,Bettongia penicillata
Rip Tide,Quibus nostra ignota sunt An 'Utinam ne,Connochaetus taurinus
Rip Tide,Hic tenetur a sapiente delectus ut aut voluptates omittantur maiorum,Melanerpes erythrocephalus
Rocks,Libidinem fingitur -- ait enim declinare atomum sine,Falco mexicanus
Rip Tide,Te sicut nostrum Triarium minus ab eo ortum tam,Dasypus novemcinctus
Rocks,Stulti autem malorum memoria torquentur sapientes bona praeterita non meminerunt praesentibus non fruuntur,Connochaetus taurinus
Extreme Weather,Ratio docet tum denique poterit aliquid cognosci,Meleagris gallopavo
Tide,Desiderent Sive enim ad minima veniam quis nostrud exercitation,Papio cynocephalus
Rip Tide,Fore levius aliquando nulla praeterea neque praesenti nec expectata voluptate quid eo miserius dici,Dipodomys deserti
Waves ,Ignem nivem esse albam dulce mel Quorum nihil oportere exquisitis rationibus,Lamprotornis nitens
Waves ,Partis confirmatur animus et excelsus omni est,Eurocephalus anguitimens
Tide,Amicitia et amicitia cum voluptate vivere Nec enim,Antidorcas marsupialis
Sharks,An me inquam nisi te audire vellem censes haec dicturum fuisse,Redunca redunca
Rocks,Consequuntur voluptates quarum potiendi spe inflammati multos,Corvus brachyrhynchos
Waves ,Ab hoc qui eum unum secutus esset nollem vituperatum Iam in,Coluber constrictor
Extreme Waves,Forensibus operis laboribus periculis non deseruisse mihi videor praesidium in,Chauna torquata
Tide,Dolorum fuga Et harum quidem rerum facilis est et ab Epicuro sapiens semper beatus,Notechis semmiannulatus
Extreme Waves,Pleniorem efficit Itaque non ob ea solum incommoda quae,Felis caracal
Extreme Weather,Compositis quid est quod nullam eruditionem esse duxit nisi quae beatae,Cacatua tenuirostris
Rocks,Iudex Multi etiam ut te consule ipsi se indicaverunt Quodsi qui satis sibi contra,Meleagris gallopavo
Extreme Waves,Nullo a principio sed ex aeterno tempore,Phalacrocorax niger
Tide,Haec dicturum fuisse Utrum igitur percurri omnem Epicuri disciplinam,Meleagris gallopavo
Extreme Waves,Chrysippo praetermissum in Stoicis Legimus tamen Diogenem Antipatrum,Ephippiorhynchus mycteria
Extreme Waves,Inanes divitiarum gloriae dominationis libidinosarum etiam voluptatum Accedunt aegritudines molestiae,Cyrtodactylus louisiadensis
Extreme Waves,Quod sentiant non esse faciendum ii voluptatem maximam adipiscuntur praetermittenda,Antidorcas marsupialis
Rocks,Graecam Quando enim nobis vel dicam aut oratoribus bonis aut,Erethizon dorsatum
Tide,Dici velit ut a Scaevola est praetore salutatus Athenis,Mirounga angustirostris
Extreme Weather,Maxime allicit quod ita putant dici ab,Notechis semmiannulatus
Extreme Tide,Natura quod tranquillat animos tum spe nihil,Drymarchon corias couperi
Waves ,Brevi Nullus in ipsis error est finibus bonorum et malorum fere,Larus dominicanus
Extreme Tide,Profecto quantumcumque possum in eo ipso,Damaliscus lunatus
Extreme Waves,Atomorum et magnitudinem solis probabo et Democriti errata ab Epicuro sapiens semper beatus inducitur,Damaliscus lunatus
Waves ,Tranquilli potest Quodsi vitam omnem perturbari videmus errore et inscientia,Melanerpes erythrocephalus
Extreme Weather,A facillimis ordiamur prima veniat in medium Epicuri ratio quae plerisque notissima est Quam a nobis,Damaliscus lunatus
Rocks,Aut fugiat aliquid praeter voluptatem et dolorem Ad haec,Sula dactylatra
Waves ,Quoniam nacti te inquit sumus aliquando,Anhinga rufa
Extreme Waves,Expetendam putemus tota amicitia quasi claudicare videatur Itaque primos congressus copulationesque,Eurocephalus anguitimens
Sharks,Tamen ipsi amici propter se esse fugiendam temperantiamque expetendam non quia,Phalacrocorax carbo
Rocks,Et libido et ignavia semper animum excruciant et,Myiarchus tuberculifer
Extreme Weather,Rerum bonarum et malarum maxime hominum vita vexetur ob eumque,Myiarchus tuberculifer
Extreme Waves,Venire ut abhorreant a Latinis quod inciderint,Conolophus subcristatus
Tide,Sunt autem quidam Epicurei timidiores paulo contra vestra convicia,Pseudalopex gymnocercus
Extreme Waves,Semper animum excruciant et semper sollicitant turbulentaeque sunt sic inprobitas,Dipodomys deserti
Sharks,Affectus et firmitatem animi nec mortem nec dolorem,Dasypus novemcinctus
Tide,Aeternum et infinitum impendere malum nobis opinemur Quod idem,Lamprotornis nitens
Extreme Waves,Accedis saluto 'chaere' inquam 'Tite' lictores turma omnis chorusque 'chaere,Sylvicapra grimma
Extreme Waves,Quibus nostra ignota sunt An 'Utinam ne in nemore,Spermophilus parryii
Extreme Tide,Testibus si infantes pueri mutae etiam bestiae paene loquuntur,Anhinga rufa
Extreme Waves,Simul atque natum sit voluptatem appetere eaque gaudere,Phalacrocorax carbo
Tide,Instructus semper est in voluptate Neque enim disputari,Semnopithecus entellus
Extreme Tide,Nulla successerit eoque intellegi potest quanta voluptas sit non,Chloephaga melanoptera
Extreme Weather,Quorum facta quem ad modum eae semper voluptatibus inhaererent eadem de,Larus dominicanus
Sharks,Venire vetuit numquid tibi videtur,Cynictis penicillata
Waves ,Quaestionem de finibus bonorum et malorum fere a nobis sic intelleges,Corvus albicollis
Extreme Tide,Nutu recte ferentur primum erit hoc quasi provincias atomis dare,Chauna torquata
Tide,Vivi nisi sapienter honeste iusteque vivatur nec sapienter honeste iuste,Acridotheres tristis
Crazy Waves,Necesse est Animi autem voluptates et dolores animi quam corporis,Cynomys ludovicianus
Extreme Weather,Recordamur Stulti autem malorum memoria torquentur sapientes bona praeterita grata,Corvus albicollis
Sharks,Paene nomini Romano est qui dolorem ipsum quia dolor,Anhinga rufa
Extreme Tide,Disciplinam placet an de una voluptate quaeri de qua omne certamen est,Estrilda erythronotos
Extreme Tide,Ab Homero Ennius Afranius a Menandro solet Nec vero,Larus dominicanus
Extreme Tide,Unum genus posuit earum cupiditatum quae essent et naturales et necessariae,Cynomys ludovicianus
Extreme Weather,Vacuitate doloris sine iucundo motu voluptatis Sin autem summa voluptas est,Falco mexicanus
Sharks,Statim consequi nisi in voluptatis locum dolor forte successerit at contra gaudere,Antidorcas marsupialis
Crazy Waves,Omnia in philosophia tum id quod sentiant,Bradypus tridactylus
Crazy Waves,Existimo te sicut nostrum Triarium minus ab eo nos abducat,Chauna torquata
Tide,Hortensio Qui liber cum et mortem contemnit qua,Ephippiorhynchus mycteria
Sharks,Volunt fieri difficilem quandam temperantiam postulant in eo quod semel admissum coerceri,Corvus brachyrhynchos
Crazy Waves,Fatendum est summum esse bonum iucunde vivere Id,Bucorvus leadbeateri
Sharks,Recte si voluptas esset bonum fuisse desideraturam Idcirco enim non desideraret quia quod,Cyrtodactylus louisiadensis
Sharks,Perpessio dolorum per se ipsam optabilem sed quia iucunditatis vel plurimum afferat Nam diligi et,Phalacrocorax niger
Crazy Waves,Theophrasti orationis ornamenta neglexerit Nam illud quidem physici credere aliquid,Chloephaga melanoptera
Crazy Waves,Tum amorem efflorescere tantum ut etiamsi nulla sit,Fregata magnificans
Tide,A populo Romano locatus sum debeo profecto quantumcumque possum in,Cynictis penicillata
Crazy Waves,Grate meminit et praesentibus ita potitur,Antidorcas marsupialis
Crazy Waves,Aeque diu sit in corpore Non placet autem detracta voluptate aegritudinem,Meleagris gallopavo
Wild Waves,Refugiendi et omnino rerum gerendarum initia proficiscuntur,Chauna torquata
Crazy Waves,Omni doctrina erudito defensa est Epicuri sententia de voluptate,Dipodomys deserti
Sharks,Quosvis suscipere malit quam deserere ullam officii,Alligator mississippiensis
Tide,Copiosae vel elegantis ornatus defuit Ego vero quoniam forensibus operis,Canis aureus
Tide,tjtuy,Pterocles gutturalis
Wild Waves,pykxs,Paradoxurus hermaphroditus
Waves ,yxiub,Cynomys ludovicianus
Sharks,zempv,Bradypus tridactylus
Wild Waves,rvrtr,Cyrtodactylus louisiadensis
Waves ,kzkoa,Tiliqua scincoides
Waves ,hjhlu,unavailable
Rocks,nrqni,Rangifer tarandus
Sharks,mjuuw,Eudyptula minor
Sharks,rzfho,Spermophilus parryii
Extreme Weather,xbxne,Chloephaga melanoptera
Xtreme Tide,izbsq,Phalacrocorax carbo
Waves ,wrvzk,Dipodomys deserti
Tide,gilpx,Damaliscus lunatus
Wild Waves,ygrpq,Falco mexicanus
Extreme Weather,qwway,Agama sp.
Tide,zxroi,Myiarchus tuberculifer
Wild Waves,qltae,Mirounga angustirostris
Wild Waves,mlkla,Phalacrocorax carbo
Extreme Weather,wvcen,Phalacrocorax carbo
Rocks,rzvvp,Pseudalopex gymnocercus
Extreme Weather,tkflt,Pseudalopex gymnocercus
Tide,qwksi,Paradoxurus hermaphroditus
Sharks,dfmoi,Naja nivea
Xtreme Tide,mfaon,Conolophus subcristatus
Waves ,rpnex,Chelodina longicollis
Tide,rlwho,Spermophilus parryii
Sharks,zbwep,Paradoxurus hermaphroditus
Rocks,ozdsq,Oxybelis sp.
Xtreme Tide,ceqqu,Cercatetus concinnus
Rocks,vgxqp,Mirounga angustirostris
Tide,jisby,Dipodomys deserti
Rocks,vajmr,Conolophus subcristatus
Extreme Weather,otybc,Chlamydosaurus kingii
Rocks,svphg,Cercatetus concinnus
Tide,ercjz,Eurocephalus anguitimens
Xtreme Tide,chwwk,Chelodina longicollis
Tide,yvvau,Estrilda erythronotos
Tide,twcir,Coluber constrictor
Sharks,noqjf,Buteo jamaicensis
Rocks,dgdml,Paradoxurus hermaphroditus
Tide,bwruh,Anhinga rufa
Extreme Weather,rbocg,Redunca redunca
Xtreme Tide,ooxbk,Buteo jamaicensis
Huge Waves,pcymm,Buteo jamaicensis
Sharks,cxovp,Fregata magnificans
Tide,qfuuz,Buteo jamaicensis
Waves ,ovqoq,Erethizon dorsatum
Extreme Weather,pvcyn,Phalacrocorax niger
Rocks,racrv,Phalacrocorax carbo
Waves ,cdavk,Ephippiorhynchus mycteria
Rocks,rdexo,Tiliqua scincoides
Sharks,coaxb,Notechis semmiannulatus
Huge Waves,etokh,Chionis alba
Extreme Weather,zqrzn,Spermophilus parryii
Rocks,ipvyo,Notechis semmiannulatus
Tide,mjpgy,Cynomys ludovicianus
Stingrays,ojxul,Buteo jamaicensis
Sharks,mojue,Oxybelis sp.
Tide,gemdn,Naja nivea
Tide,ffgnq,Corvus brachyrhynchos
Extreme Weather,tiigd,Ciconia episcopus
Tide,nzecl,Phascogale calura
Extreme Weather,cokdl,Cyrtodactylus louisiadensis
Tide,aabom,Tiliqua scincoides
Stingrays,zkfyn,Chloephaga melanoptera
Extreme Weather,iklar,Eurocephalus anguitimens
Sharks,ropdx,Semnopithecus entellus
Stingrays,vcwjb,Gymnorhina tibicen
Rocks,spvmj,Felis caracal
Tide,zrwbf,Chionis alba
Stingrays,jsvfy,Deroptyus accipitrinus
Extreme Weather,wbtwk,Cercatetus concinnus
Sharks,hvfxc,Dipodomys deserti
Tide,mnqkx,Eudyptula minor
Big StingRays,oepno,Connochaetus taurinus
Tide,hezys,Rangifer tarandus
Extreme Weather,okmqk,Bettongia penicillata
Sharks,boypl,Colobus guerza
Stingrays,ffpap,Connochaetus taurinus
Rocks,epnry,Redunca redunca
Tide,yzbra,Phalacrocorax niger
Sharks,gmafe,Damaliscus lunatus
Big StingRays,fygys,Sylvicapra grimma
Sharks,fqsud,Haematopus ater
Big StingRays,lqgsk,Melanerpes erythrocephalus
Waves ,ncxyb,Phalacrocorax carbo
Big StingRays,bmfub,Vanellus sp.
Tide,kcodr,Vanellus sp.
Waves ,lqmdb,Buteo jamaicensis
Sharks,gudem,Falco mexicanus
Waves ,wcyll,Gymnorhina tibicen
Sharks,uvfss,Pseudalopex gymnocercus
Sharks,pwqqh,Dendrohyrax brucel
Tide,yumlm,Connochaetus taurinus
Big StingRays,pfovp,unavailable
Tide,faeon,Cyrtodactylus louisiadensis
Waves ,cspap,Chloephaga melanoptera
Sharks,fzffc,Mirounga angustirostris
Big StingRays,nimpu,Alligator mississippiensis
Waves ,wvqil,Cercatetus concinnus
Big StingRays,nflnp,Drymarchon corias couperi
Rocks,qrasd,Spermophilus parryii
Sharks,ivkmm,Melanerpes erythrocephalus
Sharks,fgsqr,Vanellus sp.
Extreme Weather,hrbbo,Melanerpes erythrocephalus
Rocks,qxpgj,Acridotheres tristis
Big StingRays,xegfj,Bubalus arnee
Tide,twbgu,Bucorvus leadbeateri
Sharks,oqdmh,Sula dactylatra
Extreme Weather,tihnk,Chionis alba
Tide,msaez,Fregata magnificans
Extreme Weather,tfnar,Cynomys ludovicianus
Rocks,xysut,Cynictis penicillata
Extreme Weather,fulet,Cynictis penicillata
Rocks,qhlbs,Chauna torquata
Extreme Weather,wtgwv,Mirounga angustirostris
Extreme Weather,jggfu,Sula dactylatra
Sharks,tyvkl,Estrilda erythronotos
Extreme Weather,pvnka,Deroptyus accipitrinus
Waves ,bcrcv,Bubalus arnee
Tide,nboka,Erethizon dorsatum
Sharks,uhbww,Crotalus triseriatus
Rocks,igfkn,Eurocephalus anguitimens
Waves ,ckqmd,Antidorcas marsupialis
Extreme Weather,rdxwq,Fregata magnificans
Tide,rhijh,unavailable
Rocks,spget,Damaliscus lunatus
Extreme Weather,wlubt,Alligator mississippiensis
Rocks,wamrq,Fregata magnificans
Extreme Weather,xrtfy,Sylvicapra grimma
Tide,wqoaq,Sylvicapra grimma
Tide,dedeg,Chelodina longicollis
Tide,cbuzq,Conolophus subcristatus
Sharks,oxicz,Pterocles gutturalis
Rocks,sqjlx,Eudyptula minor
Tide,mlfit,Sula dactylatra
Extreme Weather,bcmvg,Dasypus novemcinctus
Waves ,ydbkc,Chauna torquata
Waves ,xvrke,Oxybelis sp.
Sharks,ynyoh,Connochaetus taurinus
Tide,tkysj,Deroptyus accipitrinus
Waves ,bbpym,Drymarchon corias couperi
Extreme Weather,voklz,Oxybelis sp.
Rocks,hrcty,Chionis alba
Waves ,qjqkn,Dendrohyrax brucel
Rocks,vmipt,Corvus albicollis
Sharks,oqyvs,Lamprotornis nitens
Rocks,esfql,Coluber constrictor
Extreme Weather,luoqu,Estrilda erythronotos
Rocks,njxtv,Chloephaga melanoptera
Tide,bsweu,Larus dominicanus
Waves ,pgjrz,Agama sp.
Extreme Waves,ugsjj,Connochaetus taurinus
Tide,jerku,Corvus albicollis
Tide,fbten,Crotalus triseriatus
Extreme Weather,cqkdw,Papio cynocephalus
Extreme Weather,vwvcl,Erethizon dorsatum
Extreme Weather,ujeep,Phascogale calura
Super Wavy,vwmvc,Cynictis penicillata
Super Wavy,xnyrc,Buteo jamaicensis
Extreme Weather,dqola,Rangifer tarandus
Sharks,jkozv,Chloephaga melanoptera
Super Wavy,flass,Chauna torquata
Wavy,hokqa,Notechis semmiannulatus
Wavy,bvsfe,Sylvicapra grimma
Wavy,dfwkx,Anhinga rufa
Wavy,jyzte,Chlamydosaurus kingii
Super Wavy,usvpt,Notechis semmiannulatus
Wavy,ffmts,Paradoxurus hermaphroditus
Tide,ryfqw,Cacatua tenuirostris
Wavy,kfkcs,Phalacrocorax niger
Wavy,bnckz,Cynictis penicillata
Sharks,rqpjl,Coluber constrictor
Sharks,jnhvw,Lama glama
Rocks,xtxcw,Gopherus agassizii
Wavy,owuoe,Deroptyus accipitrinus
Sharks,ytytn,Bucorvus leadbeateri
Wavy,xjfza,Pterocles gutturalis
Sharks,vlabx,Acridotheres tristis
Sharks,fhenl,Canis mesomelas
Waves ,rlkps,Cyrtodactylus louisiadensis
Tide,ogevw,Bettongia penicillata
Tide,ehroc,Cercatetus concinnus
Waves ,mbutn,Colobus guerza
Wavy,guiao,Lamprotornis nitens
Waves ,edlcs,Meleagris gallopavo
Rip Tide,wcazp,Sula dactylatra
Rip Tide,qoqbv,Falco mexicanus
Rip Tide,oynpx,Felis caracal
Rip Tide,ogoqf,Phascogale calura